 ,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
-50,x,,,,,9,0,36,0,670.5028209,671.5027238,671.5027238,671.5027238,671.5027238,671.5027238,672.5019899,672.5019899,x,1,0.7257859,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,9,1,37,1,673.2523608,674.2526014,674.2526014,674.2526014,674.2526014,674.2526014,675.2526126,675.2526126,v,1,1.1439469,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,9,2,38,2,676.4191493,677.4187658,677.4187658,677.4187658,677.4187658,677.4187658,678.4188105,678.4188105,c,1,0.5741716,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,9,3,39,0,679.0185126,680.0187367,680.0187367,680.0187367,680.0187367,680.0187367,681.018547,681.018547,x,1,0.5704707,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,10,0,40,2,681.6184276,682.618621,682.618621,682.618621,682.618621,682.618621,683.618491,683.618491,c,1,0.8317604,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,10,1,41,3,684.4684481,685.4683651,685.4683651,685.4683651,685.4683651,685.4683651,686.4685193,686.4685193,z,1,0.8181975,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,10,2,42,3,687.3177358,688.3184717,688.3184717,688.3184717,688.3184717,688.3184717,689.3183503,689.3183503,z,1,0.7861913,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,10,3,43,3,690.1349441,691.134834,691.134834,691.134834,691.134834,691.134834,692.1347036,692.1347036,z,1,0.740877,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,11,0,44,3,692.9015441,693.9015203,693.9015203,693.9015203,693.9015203,693.9015203,694.901071,694.901071,z,1,0.7047418,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,11,1,45,3,695.6346418,696.6343392,696.6343392,696.6343392,696.6343392,696.6343392,697.6345069,697.6345069,z,1,0.4551411,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,11,2,46,2,698.117621,699.117667,699.117667,699.117667,699.117667,699.117667,700.1177516,700.1177516,c,1,2.0465334,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,11,3,47,0,702.1841166,703.1840983,703.1840983,703.1840983,703.1840983,703.1840983,704.1845926,704.1845926,x,1,0.9113457,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,12,0,48,0,705.117476,706.1174203,706.1174203,706.1174203,706.1174203,706.1174203,707.1174066,707.1174066,x,1,1.0898706,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,12,1,49,3,708.2341656,709.233529,709.233529,709.233529,709.233529,709.233529,710.2339344,710.2339344,z,1,0.5986149,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,12,2,50,2,710.8503437,711.8507666,711.8507666,711.8507666,711.8507666,711.8507666,712.8504397,712.8504397,c,1,0.8989236,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,12,3,51,0,713.7668543,714.7669854,714.7669854,714.7669854,714.7669854,714.7669854,715.7669494,715.7669494,x,1,0.7586877,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,13,0,52,0,716.5498007,717.5499757,717.5499757,717.5499757,717.5499757,717.5499757,718.5503884,718.5503884,x,1,0.9175524,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,13,1,53,2,719.500353,720.4997344,720.4997344,720.4997344,720.4997344,720.4997344,721.4995073,721.4995073,c,1,1.0890664,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,13,2,54,3,722.6163796,723.6167709,723.6167709,723.6167709,723.6167709,723.6167709,724.6166613,724.6166613,z,1,0.8506925,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,13,3,55,3,725.4999263,726.4999814,726.4999814,726.4999814,726.4999814,726.4999814,727.4997167,727.4997167,z,1,0.6039024,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,14,0,56,3,728.1327125,729.1333208,729.1161714,729.1161714,729.1161714,729.1161714,730.1162416,730.1162416,z,1,0.5255909,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,14,1,57,1,730.666257,731.6662497,731.6662497,731.6662497,731.6662497,731.6662497,732.6661927,732.6661927,v,1,1.0817782,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,14,2,58,3,733.7658457,734.7659924,734.7659924,734.7659924,734.7659924,734.7659924,735.7653878,735.7653878,z,1,0.8659725,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,14,3,59,2,736.6487213,737.6493588,737.6493588,737.6493588,737.6493588,737.6493588,738.6490133,738.6490133,c,1,2.1384326,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,15,0,60,2,740.8157609,741.8154871,741.8154871,741.8154871,741.8154871,741.8154871,742.8151074,742.8151074,c,1,0.9633591,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,15,1,61,3,743.7988063,744.7989179,744.7989179,744.7989179,744.7989179,744.7989179,745.7989306,745.7989306,z,1,0.9252584,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,15,2,62,3,746.7482359,747.7490911,747.7490911,747.7490911,747.7490911,747.7490911,748.7489509,748.7489509,z,1,0.7054685,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,15,3,63,0,749.4814847,750.4821654,750.4821654,750.4821654,750.4821654,750.4821654,751.4814105,751.4814105,x,1,0.7280475,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,16,0,64,3,752.2313716,753.2314496,753.2314496,753.2314496,753.2314496,753.2314496,754.2320049,754.2320049,z,1,0.6743448,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,16,1,65,2,754.9313096,755.9315629,755.9315629,755.9315629,755.9315629,755.9315629,756.9318931,756.9318931,c,1,1.8197295,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,16,2,66,0,758.7814659,759.7814795,759.7814795,759.7814795,759.7814795,759.7814795,760.7817114,760.7817114,x,1,0.7540574,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,16,3,67,2,761.5655321,762.5642514,762.5642514,762.5642514,762.5642514,762.5642514,763.5645384,763.5645384,c,1,0.9666526,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,17,0,68,1,764.5478811,765.5478565,765.5478565,765.5478565,765.5478565,765.5478565,766.5475088,766.5475088,v,1,0.8317871,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,17,1,69,2,767.3974994,768.3974175,768.3974175,768.3974175,768.3974175,768.3974175,769.3976119,769.3976119,c,1,0.6973834,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,17,2,70,3,770.1140964,771.1141079,771.1141079,771.1141079,771.1141079,771.1141079,772.1141847,772.1141847,z,1,0.8601477,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,17,3,71,1,772.9970504,773.997428,773.997428,773.997428,773.997428,773.997428,774.997521,774.997521,v,1,0.9949625,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,18,0,72,3,776.0137384,777.0139069,777.0139069,777.0139069,777.0139069,777.0139069,778.0139514,778.0139514,z,1,0.9190672,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,18,1,73,0,778.9638614,779.9636586,779.9636586,779.9636586,779.9636586,779.9636586,780.9634958,780.9634958,x,1,1.869144,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,18,2,74,1,782.8636761,783.8630004,783.8630004,783.8630004,783.8630004,783.8630004,784.8630665,784.8630665,v,1,0.9078285,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,18,3,75,1,785.7966027,786.797028,786.797028,786.797028,786.797028,786.797028,787.7964204,787.7964204,v,1,0.6251886,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
